"CRS SUBJ CD","CRS NBR","CRS TITLE","DEPT CD","DEPT NAME","A","B","C","D","F","ADV","CR","DFR","I","NG","NR","O","PR","S","U","W","Primary Instructor","Grade Regs"
"BA","190","Seminar for Bus Scholars","2785","Business Administration Admini","0","0","0","0","0","0","0","0","0","0","0","0","0","159","0","0","Sanchez, Mayra","159"
"BA","299","CBA Study Abroad","2785","Business Administration Admini","0","0","0","0","0","0","0","0","0","0","15","0","0","0","0","1","Sady, Elizabeth Virginia","16"
"BA","420","Professional Presence","2785","Business Administration Admini","33","5","0","0","0","0","0","0","0","0","0","0","0","0","0","2","Souri, Ranjit J","40"
"BHIS","406","Medical Terminology for HIM","2318","Biomed & Health Info Sciences","70","40","15","3","0","0","0","0","0","0","0","0","0","0","0","2","Mills, Laura Lynn","130"
"BHIS","593","HI Capstone","2318","Biomed & Health Info Sciences","0","0","0","0","0","0","0","0","0","0","0","0","0","12","0","0","Mills, Laura Lynn","12"
"BIOS","110","Biol of Cells & Organisms","2453","Biological Sciences","105","160","81","27","26","0","0","0","0","0","0","0","0","0","0","16","Daemicke Hansen, Alexandra Kristin","415"
"BIOS","230","Evolution and Ecology","2453","Biological Sciences","79","43","30","10","5","0","0","0","0","0","0","0","0","0","0","3","Chong, Jer Pin","170"
"BIOS","294","Visualizing Biological Data","2453","Biological Sciences","21","5","2","2","0","0","0","0","0","0","0","0","0","0","0","2","Hampton-Marcell, Jarrad Timothy","32"
"BIOS","310","Genetics Laboratory","2453","Biological Sciences","76","72","27","7","1","0","0","0","1","0","0","0","0","0","0","3","Chong, Jer Pin","187"
"BIOS","352","Introductory Biochemistry","2453","Biological Sciences","91","99","57","18","18","0","0","0","0","0","0","0","0","0","0","13","Polikanov, Yury S","296"
"BIOS","431","Plant & Animal Interactions","2453","Biological Sciences","19","3","1","0","1","0","0","0","0","0","0","0","0","0","0","0","Molumby, Alan J","24"
"ACTG","210","Intro Financial Accounting","2656","Accounting","7","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","Zufarov, Rustam","10"
"ACTG","210","Intro to Fin Actg","2656","Accounting","22","12","5","3","0","0","0","0","0","0","0","0","0","0","0","3","Chang, Nathan","45"
"ACTG","210","Intro to Fin Actg","2656","Accounting","30","36","28","4","4","0","0","0","1","0","0","0","0","0","0","1","Mikhail, Michael B","104"
"ACTG","211","Intro Managerial Accounting","2656","Accounting","82","39","16","4","2","0","0","0","0","0","0","0","0","0","0","1","Patel, Neel Vasudev","144"
